TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,plantDate
29342.0,DPW Maintained,Lophostemon confertus :: Brisbane Box,1500X Portola Dr,8.0,Median : Cutout,DPW,2012-02,3.0,3X3,37.73667874,-122.4693298,2012-02-25 00:00:00
6357.0,DPW Maintained,Platanus racemosa :: California Sycamore,2020X Ellis St,1.0,Sidewalk: Curb side : Cutout,Private,2012-02,12.0,4X4,37.78152574,-122.4395877,2012-02-14 00:00:00
85781.0,DPW Maintained,Ulmus parvifolia :: Chinese Elm,1285 Folsom St,1.0,Sidewalk: Curb side : Cutout,DPW,2012-02,3.0,3x3,37.77392725,-122.4112587,2012-02-21 00:00:00
98582.0,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,1X Palm Ave,1.0,Sidewalk: Curb side : Cutout,Private,2012-02,12.0,3x3,37.78566141,-122.4581413,2012-02-29 00:00:00
98454.0,DPW Maintained,Banksia integrifolia :: Coast Banksia,1565 Kirkwood Ave,2.0,Sidewalk: Curb side : Cutout,Private,2012-02,5.0,3x3,37.73760801,-122.3891548,2012-02-15 00:00:00
29325.0,DPW Maintained,Lophostemon confertus :: Brisbane Box,1250X Portola Dr,14.0,Median : Cutout,DPW,2012-02,3.0,3X3,37.74000331,-122.4636956,2012-02-22 00:00:00
16103.0,DPW Maintained,Pyrus calleryana :: Ornamental Pear,300X Monterey Blvd,1.0,Median : Cutout,DPW,2012-02,2.0,5,37.73157364,-122.4421914,2012-02-18 00:00:00
98515.0,DPW Maintained,Fraxinus ornus :: Flowering Ash,2X 13th St,1.0,Sidewalk: Property side : Cutout,Private,2012-02,2.0,3x3,37.76961928,-122.4115921,2012-02-22 00:00:00
98805.0,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,950x Clay St,7.0,Sidewalk: Curb side : Cutout,SFUSD,2012-03,1.0,3x3,37.79398603,-122.4088648,2012-03-16 00:00:00
70277.0,DPW Maintained,Agonis flexuosa 'After Dark' :: Peppermint willow 'After Dark',481 34th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2012-03,2.0,,37.78011364,-122.4944966,2012-03-06 00:00:00
137554.0,DPW Maintained,Pittosporum undulatum :: Victorian Box,1181 PIERCE ST,2.0,Sidewalk: Curb side : Cutout,DPW,2012-03,1.0,Width 0ft,37.78071739,-122.4356293,2012-03-21 00:00:00
98800.0,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,950@Washington Clay St,2.0,Sidewalk: Curb side : Cutout,DPW for City Agency,2012-03,2.0,3x3,37.79403334,-122.4084407,2012-03-16 00:00:00
98810.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,290 Napoleon St,6.0,Sidewalk: Curb side : Cutout,Private,2012-03,3.0,3x3,37.74614158,-122.401725,2012-03-19 00:00:00
98801.0,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,950@Washington Clay St,3.0,Sidewalk: Curb side : Cutout,DPW for City Agency,2012-03,2.0,3x3,37.79402479,-122.4085402,2012-03-16 00:00:00
47068.0,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,604 Webster St,3.0,Sidewalk: Curb side : Cutout,Private,2012-03,1.0,,37.77625028,-122.4295205,2012-03-28 00:00:00
5562.0,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,997 Dolores St,1.0,Sidewalk: Curb side : Cutout,DPW,2012-03,3.0,3x3,37.75356876,-122.4251729,2012-03-14 00:00:00
9651.0,DPW Maintained,Tristania conferta ::,75 Gough St,1.0,Sidewalk: Curb side : Cutout,DPW,2012-03,3.0,3x3,37.77353554,-122.4223923,2012-03-21 00:00:00
